model,mpg,disp,drat,wt,qsec,hp,cyl,vs,am,gear,carb
Honda Civic,30.4,75.7,4.93,1.615,18.52,52,4,1,1,4,2
Merc 240D,24.4,146.7,3.69,3.19,20,62,4,1,0,4,2
Toyota Corolla,33.9,71.1,4.22,1.835,19.9,65,4,1,1,4,1
Fiat 128,32.4,78.7,4.08,2.2,19.47,66,4,1,1,4,1
Fiat X1-9,27.3,79,4.08,1.935,18.9,66,4,1,1,4,1
Porsche 914-2,26,120.3,4.43,2.14,16.7,91,4,0,1,5,2
Datsun 710,22.8,108,3.85,2.32,18.61,93,4,1,1,4,1
Merc 230,22.8,140.8,3.92,3.15,22.9,95,4,1,0,4,2
Toyota Corona,21.5,120.1,3.7,2.465,20.01,97,4,1,0,3,1
Valiant,18.1,225,2.76,3.46,20.22,105,6,1,0,3,1
Volvo 142E,21.4,121,4.11,2.78,18.6,109,4,1,1,4,2
Mazda RX4,21,160,3.9,2.62,16.46,110,6,0,1,4,4
Mazda RX4 Wag,21,160,3.9,2.875,17.02,110,6,0,1,4,4
Hornet 4 Drive,21.4,258,3.08,3.215,19.44,110,6,1,0,3,1
Lotus Europa,30.4,95.1,3.77,1.513,16.9,113,4,1,1,5,2
Merc 280,19.2,167.6,3.92,3.44,18.3,123,6,1,0,4,4
Merc 280C,17.8,167.6,3.92,3.44,18.9,123,6,1,0,4,4
Dodge Challenger,15.5,318,2.76,3.52,16.87,150,8,0,0,3,2
AMC Javelin,15.2,304,3.15,3.435,17.3,150,8,0,0,3,2
Hornet Sportabout,18.7,360,3.15,3.44,17.02,175,8,0,0,3,2
Pontiac Firebird,19.2,400,3.08,3.845,17.05,175,8,0,0,3,2
Ferrari Dino,19.7,145,3.62,2.77,15.5,175,6,0,1,5,6
Merc 450SE,16.4,275.8,3.07,4.07,17.4,180,8,0,0,3,3
Merc 450SL,17.3,275.8,3.07,3.73,17.6,180,8,0,0,3,3
Merc 450SLC,15.2,275.8,3.07,3.78,18,180,8,0,0,3,3
Cadillac Fleetwood,10.4,472,2.93,5.25,17.98,205,8,0,0,3,4
Lincoln Continental,10.4,460,3,5.424,17.82,215,8,0,0,3,4
Chrysler Imperial,14.7,440,3.23,5.345,17.42,230,8,0,0,3,4
Duster 360,14.3,360,3.21,3.57,15.84,245,8,0,0,3,4
Camaro Z28,13.3,350,3.73,3.84,15.41,245,8,0,0,3,4
Ford Pantera L,15.8,351,4.22,3.17,14.5,264,8,0,1,5,4
Maserati Bora,15,301,3.54,3.57,14.6,335,8,0,1,5,8
